epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3048.44,0.56545,0.65276,0.99578,0.9084,0.93875,0.97472,0.88776,0.38651,0.35683,0.86066,0.00053225,0.00053225,0.00053225
60,3099.99,0.55096,0.63315,0.99077,0.93267,0.92616,0.97595,0.89913,0.37636,0.3355,0.86005,0.000519875,0.000519875,0.000519875
61,3151.56,0.54125,0.62205,0.98199,0.93438,0.91372,0.97375,0.8964,0.36236,0.3601,0.85338,0.0005075,0.0005075,0.0005075
62,3203.04,0.56848,0.61718,0.99629,0.93742,0.91005,0.97179,0.88915,0.38617,0.38957,0.85992,0.000495125,0.000495125,0.000495125
63,3254.57,0.53566,0.62162,0.97968,0.93031,0.93815,0.97696,0.90167,0.36676,0.34051,0.85131,0.00048275,0.00048275,0.00048275
64,3306.29,0.53737,0.59051,0.98025,0.91692,0.91912,0.9732,0.90469,0.35708,0.37187,0.84659,0.000470375,0.000470375,0.000470375
65,3357.96,0.52938,0.59636,0.9811,0.92879,0.91455,0.97381,0.89816,0.36306,0.37202,0.852,0.000458,0.000458,0.000458
66,3409.58,0.52774,0.57908,0.98049,0.94964,0.91441,0.97917,0.9034,0.36732,0.34563,0.85412,0.000445625,0.000445625,0.000445625
67,3461.26,0.52545,0.57793,0.97367,0.92924,0.9389,0.9785,0.90299,0.36805,0.34296,0.85768,0.00043325,0.00043325,0.00043325
68,3512.75,0.52998,0.57161,0.97583,0.9432,0.93364,0.97746,0.90917,0.35226,0.34303,0.84608,0.000420875,0.000420875,0.000420875
69,3564.42,0.50799,0.55191,0.9638,0.95015,0.94016,0.97872,0.90671,0.36171,0.33023,0.84493,0.0004085,0.0004085,0.0004085
70,3615.83,0.50747,0.54985,0.95974,0.94924,0.90793,0.97573,0.90578,0.35966,0.34136,0.84279,0.000396125,0.000396125,0.000396125
71,3667.45,0.5139,0.5723,0.96878,0.94227,0.93365,0.98001,0.908,0.35687,0.32422,0.84457,0.00038375,0.00038375,0.00038375
72,3718.97,0.50332,0.54145,0.96328,0.94848,0.92292,0.97772,0.9075,0.35682,0.34916,0.84659,0.000371375,0.000371375,0.000371375
73,3770.36,0.5066,0.55074,0.96245,0.94576,0.93338,0.98177,0.91209,0.35584,0.31519,0.84674,0.000359,0.000359,0.000359
74,3821.79,0.49654,0.53941,0.95679,0.95171,0.9598,0.98208,0.91373,0.3514,0.30778,0.84263,0.000346625,0.000346625,0.000346625
75,3873.25,0.4983,0.53945,0.96558,0.9408,0.93937,0.98092,0.91376,0.35122,0.31726,0.84308,0.00033425,0.00033425,0.00033425
76,3924.78,0.49042,0.52632,0.95171,0.94517,0.95865,0.98328,0.91436,0.34704,0.29922,0.84266,0.000321875,0.000321875,0.000321875
77,3976.37,0.48785,0.51976,0.95328,0.94981,0.92246,0.98128,0.91218,0.34386,0.31706,0.8405,0.0003095,0.0003095,0.0003095
78,4027.9,0.485,0.51203,0.96122,0.9565,0.95965,0.98485,0.91721,0.34679,0.29062,0.84257,0.000297125,0.000297125,0.000297125
79,4079.46,0.47268,0.49498,0.94458,0.93495,0.93591,0.97985,0.91274,0.341,0.30088,0.84234,0.00028475,0.00028475,0.00028475
80,4131.06,0.46561,0.49128,0.9478,0.95322,0.9549,0.98359,0.91947,0.3332,0.2824,0.83669,0.000272375,0.000272375,0.000272375
81,4182.87,0.4767,0.49772,0.95896,0.95693,0.94702,0.98155,0.91672,0.33558,0.28928,0.83596,0.00026,0.00026,0.00026
82,4234.42,0.45263,0.47694,0.94426,0.95438,0.9336,0.98077,0.91498,0.33855,0.29621,0.84078,0.000247625,0.000247625,0.000247625
83,4285.94,0.44952,0.47154,0.94361,0.94326,0.95756,0.98401,0.92327,0.33283,0.28558,0.83586,0.00023525,0.00023525,0.00023525
84,4337.45,0.45751,0.48663,0.95224,0.95545,0.96311,0.98667,0.92343,0.32625,0.27481,0.8327,0.000222875,0.000222875,0.000222875
85,4388.89,0.45381,0.474,0.94133,0.94859,0.94895,0.98462,0.91797,0.33573,0.28104,0.841,0.0002105,0.0002105,0.0002105
86,4440.31,0.44385,0.46678,0.94039,0.96299,0.94932,0.9875,0.92337,0.33663,0.27119,0.83862,0.000198125,0.000198125,0.000198125
87,4491.87,0.44012,0.46056,0.93439,0.96898,0.94827,0.98796,0.92143,0.32922,0.27407,0.83316,0.00018575,0.00018575,0.00018575
88,4543.26,0.44888,0.46239,0.938,0.95116,0.93168,0.98392,0.91839,0.33581,0.28703,0.83615,0.000173375,0.000173375,0.000173375
89,4594.55,0.44262,0.45379,0.938,0.93583,0.96112,0.98545,0.92043,0.3336,0.28556,0.83937,0.000161,0.000161,0.000161
90,4645.89,0.42518,0.44503,0.93155,0.95172,0.96001,0.9873,0.92396,0.3269,0.26208,0.83697,0.000148625,0.000148625,0.000148625
91,4723.7,0.32358,0.28549,0.86,0.94103,0.96081,0.98556,0.92382,0.32754,0.27511,0.83252,0.00013625,0.00013625,0.00013625
92,4775.15,0.31541,0.27671,0.85611,0.95662,0.94969,0.98716,0.9238,0.32802,0.27425,0.83428,0.000123875,0.000123875,0.000123875
93,4826.42,0.30451,0.26693,0.84917,0.96943,0.93403,0.98642,0.92258,0.32988,0.27242,0.83677,0.0001115,0.0001115,0.0001115
94,4877.78,0.311,0.26992,0.85322,0.95699,0.9556,0.98588,0.92459,0.32393,0.26594,0.8324,9.9125e-05,9.9125e-05,9.9125e-05
95,4929.27,0.30388,0.26349,0.85146,0.97031,0.96091,0.98724,0.92942,0.32309,0.2676,0.83487,8.675e-05,8.675e-05,8.675e-05
96,4980.6,0.29252,0.25278,0.84137,0.95567,0.96943,0.98659,0.92765,0.32268,0.26924,0.83476,7.4375e-05,7.4375e-05,7.4375e-05
97,5031.91,0.29099,0.24492,0.84053,0.96153,0.96462,0.9875,0.92642,0.32254,0.26595,0.83316,6.2e-05,6.2e-05,6.2e-05
98,5083.4,0.2896,0.24845,0.84137,0.96119,0.96995,0.98801,0.9299,0.31577,0.25988,0.83026,4.9625e-05,4.9625e-05,4.9625e-05
99,5134.87,0.28286,0.23951,0.84116,0.9676,0.95985,0.98736,0.92901,0.3182,0.261,0.83243,3.725e-05,3.725e-05,3.725e-05
100,5186.22,0.28188,0.24021,0.84069,0.96602,0.95609,0.98678,0.92992,0.31389,0.25793,0.83109,2.4875e-05,2.4875e-05,2.4875e-05
