epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,149.38,0.55752,0.83837,0.61182,0.9237,0,0.82625,0.73075,0.81418,0.57251,0.87752,0.66285,0.75742,0.36249,1.03675,1.57951,0.90706,1.20388,0,0.000634381,0.000634381,0.000634381
67,151.652,0.55449,0.81574,0.59464,0.92316,0,0.92597,0.63165,0.80492,0.58555,0.92303,0.62832,0.76306,0.36506,0.91681,1.61687,0.82841,1.15727,0,0.000627048,0.000627048,0.000627048
68,153.848,0.55083,0.83795,0.61409,0.92003,0,0.91993,0.6414,0.80166,0.58785,0.89468,0.63355,0.75816,0.35998,0.91845,1.63312,0.8259,1.1638,0,0.000619716,0.000619716,0.000619716
69,156.118,0.5521,0.84679,0.58227,0.91517,0,0.85834,0.74412,0.84067,0.57867,0.86072,0.61353,0.73561,0.35712,0.97746,1.66845,0.83933,1.19241,0,0.000612383,0.000612383,0.000612383
70,158.305,0.52894,0.82639,0.59979,0.93018,0,0.88278,0.75956,0.85285,0.58513,0.93468,0.59061,0.73621,0.356,0.98799,1.66838,0.82128,1.19227,0,0.000605051,0.000605051,0.000605051
71,160.517,0.52567,0.85939,0.59676,0.91377,0,0.85031,0.84432,0.87105,0.59429,0.79441,0.74398,0.78388,0.3805,0.97654,1.61578,0.77493,1.18397,0,0.000597718,0.000597718,0.000597718
72,162.742,0.52147,0.80423,0.56698,0.9052,0,0.88104,0.85034,0.87915,0.59565,0.80895,0.75427,0.79441,0.38813,1.01204,1.62038,0.78088,1.19592,0,0.000590385,0.000590385,0.000590385
73,164.995,0.52862,0.83988,0.57802,0.90455,0,0.88559,0.78128,0.88129,0.61177,0.78741,0.73194,0.76708,0.38483,1.00881,1.63758,0.82439,1.18167,0,0.000583053,0.000583053,0.000583053
74,167.211,0.54245,0.83729,0.6326,0.9167,0,0.86793,0.82074,0.87466,0.59746,0.79219,0.72289,0.75718,0.38882,1.02904,1.6284,0.84956,1.20162,0,0.00057572,0.00057572,0.00057572
75,169.45,0.56055,0.87753,0.61134,0.9256,0,0.85887,0.74219,0.8307,0.55901,0.7989,0.69855,0.76496,0.36004,1.12923,1.64893,0.94792,1.27258,0,0.000568388,0.000568388,0.000568388
76,171.667,0.54334,0.84895,0.59099,0.92488,0,0.89489,0.72216,0.82303,0.55466,0.9295,0.64974,0.75112,0.35774,1.12112,1.63743,0.96196,1.2588,0,0.000561055,0.000561055,0.000561055
77,173.874,0.54015,0.81434,0.59421,0.92416,0,0.93504,0.67537,0.81863,0.57137,0.90345,0.64,0.74261,0.35897,1.0749,1.56456,0.91928,1.20904,0,0.000553722,0.000553722,0.000553722
78,176.133,0.54598,0.83884,0.56973,0.9177,0,0.9534,0.67939,0.82733,0.56537,0.89619,0.63667,0.7469,0.36251,1.09419,1.54408,0.94639,1.21924,0,0.00054639,0.00054639,0.00054639
