epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,253.018,0.51589,0.76814,0.41489,0.92478,0,0.71112,0.62282,0.72851,0.55944,0.71479,0.54613,0.63156,0.3352,0.98839,1.96477,1.12516,1.20921,0,0.000702021,0.000702021,0.000702021
71,256.48,0.53952,0.79424,0.44402,0.91976,0,0.74897,0.58545,0.70542,0.5167,0.83752,0.53123,0.63326,0.31044,1.02967,1.89431,1.16854,1.22437,0,0.000699021,0.000699021,0.000699021
72,259.96,0.52729,0.7741,0.41781,0.90587,0,0.85474,0.5451,0.70927,0.52705,0.82792,0.52018,0.6112,0.30942,1.0339,1.89061,1.16742,1.21517,0,0.000696021,0.000696021,0.000696021
73,263.61,0.53458,0.77695,0.43175,0.91172,0,0.79484,0.59929,0.69167,0.51153,0.84356,0.51392,0.58052,0.30658,1.00835,1.92939,1.1778,1.20097,0,0.000693022,0.000693022,0.000693022
74,267.086,0.53498,0.77573,0.44329,0.92697,0,0.76732,0.61128,0.67086,0.49464,0.71964,0.55759,0.55923,0.29869,1.03248,1.98765,1.23055,1.21975,0,0.000690022,0.000690022,0.000690022
75,270.575,0.56043,0.84124,0.44678,0.92849,0,0.64035,0.51971,0.57392,0.43854,0.61961,0.47857,0.50174,0.27254,0.97736,1.88883,1.51944,1.16691,0,0.000687022,0.000687022,0.000687022
76,274.027,0.51612,0.82849,0.42924,0.91443,0,0.59904,0.60318,0.58143,0.4493,0.62517,0.47458,0.50037,0.27634,0.90993,1.83288,1.44032,1.11735,0,0.000684022,0.000684022,0.000684022
77,277.784,0.54148,0.77506,0.44103,0.91875,0,0.82362,0.53608,0.6406,0.48739,0.80368,0.48409,0.55173,0.29791,0.96335,1.72221,1.24367,1.16349,0,0.000681023,0.000681023,0.000681023
78,281.423,0.53037,0.79457,0.43695,0.90987,0,0.82531,0.56312,0.68569,0.52951,0.85308,0.49747,0.59321,0.30518,0.98272,1.7786,1.24935,1.18006,0,0.000678023,0.000678023,0.000678023
79,284.971,0.51244,0.79286,0.43142,0.90228,0,0.81898,0.6442,0.67565,0.53998,0.74595,0.55444,0.59657,0.28838,0.8818,1.94921,1.23137,1.10058,0,0.000675023,0.000675023,0.000675023
80,288.422,0.54423,0.8262,0.47025,0.92293,0,0.81275,0.62274,0.68605,0.55258,0.77328,0.55305,0.61789,0.29971,0.89993,2.01091,1.22282,1.09648,0,0.000672024,0.000672024,0.000672024
81,291.897,0.52872,0.79736,0.41927,0.91692,0,0.76397,0.64532,0.6601,0.53193,0.704,0.56704,0.58458,0.30929,0.96151,1.87894,1.23335,1.12187,0,0.000669024,0.000669024,0.000669024
82,295.413,0.53042,0.7917,0.42351,0.91555,0,0.75024,0.6625,0.65979,0.52896,0.67984,0.5667,0.57314,0.29719,0.95152,1.9473,1.24737,1.1256,0,0.000666024,0.000666024,0.000666024
83,299.03,0.51605,0.76662,0.41086,0.91226,0,0.77119,0.59286,0.68588,0.5437,0.8154,0.49791,0.57782,0.29241,0.94231,2.06161,1.20182,1.13129,0,0.000663025,0.000663025,0.000663025
84,302.698,0.53683,0.781,0.44531,0.91778,0,0.86636,0.57086,0.71261,0.57307,0.80533,0.51576,0.59041,0.29826,0.91136,2.0658,1.15197,1.11305,0,0.000660025,0.000660025,0.000660025
85,306.423,0.5135,0.74322,0.41773,0.90335,0,0.80776,0.69555,0.74359,0.59793,0.83414,0.55587,0.6407,0.29153,0.88456,2.13352,1.10067,1.10424,0,0.000657025,0.000657025,0.000657025
86,310.08,0.52074,0.76429,0.40289,0.90737,0,0.82208,0.67143,0.73695,0.59575,0.77166,0.60714,0.61169,0.27692,0.84591,2.24469,1.06449,1.07463,0,0.000654025,0.000654025,0.000654025
87,313.772,0.5214,0.76221,0.42069,0.89684,0,0.81784,0.6438,0.72034,0.58273,0.73356,0.54286,0.55536,0.28106,0.83787,2.19966,1.0784,1.06746,0,0.000651026,0.000651026,0.000651026
88,317.604,0.51151,0.7524,0.40145,0.91564,0,0.78304,0.67417,0.6991,0.56195,0.70365,0.54855,0.55869,0.28765,0.89455,2.12137,1.12507,1.09401,0,0.000648026,0.000648026,0.000648026
89,321.111,0.51125,0.7537,0.40996,0.90014,0,0.75771,0.62676,0.64976,0.54059,0.70911,0.55573,0.55923,0.29286,0.81314,1.92004,1.14127,1.07515,0,0.000645026,0.000645026,0.000645026
90,324.606,0.50392,0.74632,0.41827,0.91553,0,0.85029,0.53902,0.64261,0.53513,0.80077,0.48902,0.55706,0.29425,0.82346,1.85918,1.14721,1.08445,0,0.000642027,0.000642027,0.000642027
91,328.102,0.50673,0.76412,0.4152,0.90696,0,0.77377,0.62083,0.65405,0.52504,0.78972,0.53707,0.5761,0.30042,0.92814,1.8077,1.21451,1.12839,0,0.000639027,0.000639027,0.000639027
92,331.613,0.51438,0.8052,0.4127,0.91916,0,0.77556,0.57583,0.65665,0.52195,0.82037,0.5082,0.57292,0.30028,0.92418,1.78148,1.18734,1.13522,0,0.000636027,0.000636027,0.000636027
