epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,154.156,0.5564,0.8701,0.68323,0.93923,0,0.59591,0.71944,0.65471,0.51334,0.55979,0.69153,0.60308,0.32197,0.91022,1.50175,1.34113,1.14865,0,0.000471044,0.000471044,0.000471044
75,156.205,0.54985,0.84617,0.65618,0.93528,0,0.61453,0.73142,0.65404,0.51564,0.57544,0.68556,0.60911,0.31443,0.92136,1.55204,1.33964,1.1485,0,0.000465044,0.000465044,0.000465044
76,158.179,0.53287,0.8388,0.65511,0.93833,0,0.6205,0.73839,0.66031,0.52414,0.58879,0.68891,0.61256,0.31543,0.91605,1.54629,1.32883,1.14931,0,0.000459045,0.000459045,0.000459045
77,160.207,0.56068,0.8618,0.6788,0.93594,0,0.60357,0.72857,0.66177,0.52904,0.57221,0.67857,0.61307,0.32398,0.90969,1.53351,1.30604,1.14905,0,0.000453046,0.000453046,0.000453046
78,162.223,0.55473,0.86164,0.66517,0.93989,0,0.58288,0.67195,0.65791,0.52897,0.54865,0.61707,0.59807,0.32277,0.89359,1.53712,1.32873,1.13676,0,0.000447046,0.000447046,0.000447046
79,164.186,0.52341,0.83357,0.6454,0.92431,0,0.61245,0.63869,0.67158,0.53534,0.61084,0.55816,0.62519,0.31936,0.92888,1.58138,1.3055,1.15305,0,0.000441047,0.000441047,0.000441047
80,166.151,0.54208,0.8382,0.63463,0.93307,0,0.65994,0.65219,0.67975,0.54811,0.62824,0.57857,0.6187,0.32229,0.92238,1.59669,1.25636,1.15566,0,0.000435047,0.000435047,0.000435047
81,168.13,0.55794,0.84617,0.63567,0.93466,0,0.67658,0.62367,0.69148,0.55903,0.65993,0.55624,0.64571,0.33687,0.8886,1.56134,1.18855,1.14361,0,0.000429048,0.000429048,0.000429048
82,170.137,0.51882,0.84038,0.60579,0.91274,0,0.65501,0.68053,0.70317,0.55344,0.63763,0.62226,0.66675,0.36078,0.91414,1.50767,1.18051,1.14905,0,0.000423049,0.000423049,0.000423049
83,172.123,0.54238,0.83166,0.62559,0.93378,0,0.61982,0.70888,0.69024,0.53617,0.59687,0.67721,0.66127,0.35121,0.94654,1.52395,1.21891,1.16651,0,0.000417049,0.000417049,0.000417049
84,174.068,0.55228,0.84539,0.66096,0.94135,0,0.61944,0.69887,0.67326,0.52947,0.59257,0.66392,0.64566,0.34013,0.90751,1.54752,1.24775,1.15068,0,0.00041105,0.00041105,0.00041105
85,176.018,0.52117,0.82596,0.61346,0.92102,0,0.61398,0.72196,0.66315,0.52452,0.57533,0.65767,0.61411,0.32688,0.88366,1.53716,1.26573,1.13822,0,0.00040505,0.00040505,0.00040505
86,177.985,0.5211,0.78989,0.61645,0.92849,0,0.61075,0.67537,0.6593,0.51056,0.6602,0.50429,0.60086,0.32015,0.90074,1.56153,1.32114,1.13507,0,0.000399051,0.000399051,0.000399051
87,179.955,0.51955,0.80928,0.60199,0.91079,0,0.58827,0.67857,0.66854,0.51213,0.64193,0.4986,0.60502,0.31972,0.91034,1.55539,1.33998,1.14027,0,0.000393052,0.000393052,0.000393052
88,181.925,0.53135,0.82241,0.64101,0.93995,0,0.61395,0.70333,0.67099,0.51799,0.5592,0.6215,0.60448,0.32236,0.89023,1.56955,1.32552,1.13701,0,0.000387052,0.000387052,0.000387052
89,183.875,0.52399,0.82508,0.63451,0.92193,0,0.62706,0.70826,0.68285,0.52286,0.57883,0.64871,0.61434,0.32029,0.89616,1.60088,1.30683,1.14521,0,0.000381053,0.000381053,0.000381053
90,186.156,0.55059,0.85547,0.62956,0.93762,0,0.68024,0.68142,0.7189,0.53106,0.60411,0.64806,0.64401,0.31283,0.94699,1.69647,1.26882,1.17469,0,0.000375053,0.000375053,0.000375053
91,188.11,0.52316,0.834,0.61923,0.92219,0,0.67727,0.6683,0.7267,0.54055,0.62207,0.65415,0.65875,0.32344,0.91184,1.67363,1.24192,1.15233,0,0.000369054,0.000369054,0.000369054
92,190.059,0.53105,0.87535,0.63601,0.93749,0,0.68324,0.6472,0.72388,0.54761,0.59528,0.6671,0.65789,0.32765,0.86251,1.63916,1.2027,1.11852,0,0.000363055,0.000363055,0.000363055
93,192.055,0.50771,0.7991,0.6007,0.91518,0,0.60343,0.70252,0.72239,0.55249,0.64616,0.61779,0.64905,0.33093,0.84562,1.63509,1.17363,1.10459,0,0.000357055,0.000357055,0.000357055
94,194.054,0.51525,0.82723,0.58633,0.92259,0,0.60508,0.71429,0.70977,0.5477,0.77488,0.47596,0.63751,0.32287,0.85245,1.62046,1.16353,1.10749,0,0.000351056,0.000351056,0.000351056
95,196.024,0.49432,0.79622,0.57835,0.89826,0,0.57894,0.68624,0.69528,0.55129,0.78336,0.47143,0.63622,0.32406,0.82885,1.57657,1.14965,1.09845,0,0.000345056,0.000345056,0.000345056
96,197.939,0.51042,0.82359,0.62744,0.92625,0,0.78057,0.50714,0.68627,0.54881,0.76122,0.45819,0.62413,0.32961,0.82726,1.54262,1.13874,1.0979,0,0.000339057,0.000339057,0.000339057
97,199.869,0.50398,0.80158,0.58691,0.92338,0,0.54994,0.73513,0.67834,0.53782,0.69881,0.46427,0.6039,0.32908,0.83697,1.54489,1.14004,1.10589,0,0.000333058,0.000333058,0.000333058
98,201.836,0.49087,0.7732,0.57424,0.91632,0,0.59089,0.68784,0.69114,0.53615,0.53672,0.6135,0.62052,0.32878,0.87173,1.58332,1.16219,1.14031,0,0.000327058,0.000327058,0.000327058
